22.8,26.6,2.85,0,0,0,0,0,0,8.66,44.1,10.5,0,4.96,22,0,0,0,0,4.6,25,0,0,0,0,0,30.2,31.2,15.7,16.2,16.8,17.9,7.96,85.2,2.62,0,0,2.35,0,0,0,2
21.6,30.9,2.53,0,0,0,0,0,0,10.1,40,0,0,3.16,0,0,0,0,0,4.29,0,0,0,0,0,0,23.3,32.7,28.1,22.3,9.88,14.2,8.44,85.5,1.17,0,0,1.89,0,0,0,2
27,46.4,2,18.5,8.55,41,0,0,45.5,10.4,47.2,6.59,6.05,3.86,16.2,11.6,32.7,0,0,3.57,15.5,7.41,41.7,10.1,0,1.56,14.8,46.2,0.53,32.8,0,28.4,1.57,79.8,0.73,0,0,0.89,25.7,0,46.9,3
63.4,78.9,8.79,2.29,4.72,57.4,0,21.5,20.5,12,91.8,30.1,29,17,4.5,6.51,40,6.64,8.26,16.7,4.11,4.98,48.2,15.6,22.6,3,19.2,64.9,0.6,0,0,0,3.14,92.8,2.13,0,0,1.83,36.4,0,31.8,3
44,68.8,5.24,5.25,6.15,47.4,0,0,19.5,12.2,81.1,14.6,13.9,10.5,8.53,9.87,28.8,0,0,9.51,7.97,4.66,37.8,0,0,2.82,12.5,58.1,0.77,0,0,0,3.26,81.8,1.28,0,0,1.25,0,0,38.1,3
45.2,71.1,5.74,5.14,6.38,46.9,0,16,19.1,11.7,82.6,17.6,16.6,10.4,7.32,9.73,30.4,6.04,9.09,9.44,7.74,5.59,39.3,11.2,17.9,3.46,14,57,0.7,39.5,0,0,2.39,78.3,1.5,8.62,8.62,1.22,47.2,0,23.9,3
36.8,68,4.31,7.81,4.44,44.3,0,0,15.8,11.7,87.8,12.8,12.1,7.81,10.1,7.29,26.7,0,0,7.32,9.66,5.12,34.6,0,0,3.47,9.66,51.1,0.64,63.2,0,0,2.48,87.8,1.04,0,0,0.93,50.9,0,0,3
48.1,69,5.83,4.11,6.37,50.6,0,20.3,13,10.5,82.3,23.3,21.7,10.9,7.58,6.38,33.3,0,0,10.6,5.98,6.02,41,14.1,0,3.19,13.2,51.6,0.58,0,0,0,2.61,84.7,1.88,0,0,1.44,44.6,0,24.6,3
29.1,53.2,2.24,12.2,10.7,27.1,0,0,34.6,5.16,74.5,7.21,6.68,4.57,11.1,15.2,16.9,0,0,4.06,14.2,7.74,22.5,0,0,1.95,12.3,44.8,0.43,22.7,0,46.7,1.18,85.9,0.99,8.72,8.72,0.66,33.9,0,40,3
49.8,38.9,7.64,0,13.6,50.6,0,29.4,5.97,6.38,55.5,25.1,21.8,12.4,2.36,13,34.4,0,10.9,13.4,1.65,14.8,40.8,0,20.1,2.43,11.8,7.35,0,0,0,0,2.27,57.8,0.96,0,0,1.01,0,43.2,0,3
52.7,65.8,7.22,4.15,7.51,51.5,0,20.1,14.5,8.01,82.6,26.7,25.4,12.1,5.18,11.1,36.1,0,8.68,12.1,3.93,10,45,20,16.2,2.82,15.9,50.1,0.74,0,0,0,2.48,83.1,1.94,0,0,1.99,33.6,0,27.7,3
44.1,68.5,5.19,11.8,6.85,29.9,4.04,5.91,44.5,5.86,85.1,11.2,10.5,9.13,7.95,8.4,20.1,2.89,2.02,8.3,12,4.19,24.5,5.31,4.2,2.41,17.2,58,0.58,42.6,0,36.1,1.24,87.6,2.06,10.9,10.9,1.7,44.8,4.86,46.1,3
